Id,Language,Signatory,Climate_Action_Plan_Id,Sector
50680,en,Municipality of Cascais,2,Waste management
50680,en,Municipality of Cascais,2,Agriculture
50680,en,Municipality of Cascais,2,"Other, please specify"
50680,en,Municipality of Cascais,2,Transportation and storage
50680,en,Municipality of Cascais,2,"Electricity, gas, steam and air conditioning supply"
50680,en,Municipality of Cascais,2,Forestry
50680,en,Municipality of Cascais,2,Accommodation and food service activities
50680,en,Municipality of Cascais,2,"Public administration and defence, compulsory social security"
50680,en,Municipality of Cascais,3,"Sewerage, wastewater management and remediation activities"
50680,en,Municipality of Cascais,3,Construction
50680,en,Municipality of Cascais,3,Agriculture
50680,en,Municipality of Cascais,3,Human health and social work activities
50680,en,Municipality of Cascais,3,Real estate activities
50680,en,Municipality of Cascais,3,Transportation and storage
50680,en,Municipality of Cascais,3,"Professional, scientific and technical activities"
50680,en,Municipality of Cascais,3,Water supply
50680,en,Municipality of Cascais,3,Forestry
50680,en,Municipality of Cascais,3,Conservation
50680,en,Municipality of Cascais,3,"Public administration and defence, compulsory social security"
50680,en,Municipality of Cascais,3,Fishing
50680,en,Municipality of Cascais,4,"Sewerage, wastewater management and remediation activities"
50680,en,Municipality of Cascais,4,Information and communication
50680,en,Municipality of Cascais,4,Education
50680,en,Municipality of Cascais,4,Agriculture
50680,en,Municipality of Cascais,4,Human health and social work activities
50680,en,Municipality of Cascais,4,Water supply
50680,en,Municipality of Cascais,4,Forestry
50680,en,Municipality of Cascais,4,"Public administration and defence, compulsory social security"
50680,en,Municipality of Cascais,4,Conservation
50680,en,Municipality of Cascais,5,"Sewerage, wastewater management and remediation activities"
50680,en,Municipality of Cascais,5,Information and communication
50680,en,Municipality of Cascais,5,Waste management
50680,en,Municipality of Cascais,5,Education
50680,en,Municipality of Cascais,5,"Other, please specify"
50680,en,Municipality of Cascais,5,Transportation and storage
50680,en,Municipality of Cascais,5,"Electricity, gas, steam and air conditioning supply"
50680,en,Municipality of Cascais,5,"Public administration and defence, compulsory social security"
826429,en,Municipality of Figueira da Foz,1,Information and communication
826429,en,Municipality of Figueira da Foz,1,"Other, please specify"
826429,en,Municipality of Figueira da Foz,1,Agriculture
826429,en,Municipality of Figueira da Foz,1,Waste management
826429,en,Municipality of Figueira da Foz,1,Transportation and storage
826429,en,Municipality of Figueira da Foz,1,Forestry
826429,en,Municipality of Figueira da Foz,2,Information and communication
826429,en,Municipality of Figueira da Foz,2,"Other, please specify"
826429,en,Municipality of Figueira da Foz,2,Agriculture
826429,en,Municipality of Figueira da Foz,2,Human health and social work activities
826429,en,Municipality of Figueira da Foz,2,Forestry
826429,en,Municipality of Figueira da Foz,2,Fishing
55324,en,Municipality of Guimarães,1,Mining and quarrying
55324,en,Municipality of Guimarães,1,Financial and insurance activities
55324,en,Municipality of Guimarães,1,Administrative and support service activities
55324,en,Municipality of Guimarães,1,Education
55324,en,Municipality of Guimarães,1,Agriculture
55324,en,Municipality of Guimarães,1,"Wholesale and retail trade, repair of motor vehicles and motorcycles"
55324,en,Municipality of Guimarães,1,Transportation and storage
55324,en,Municipality of Guimarães,1,Real estate activities
55324,en,Municipality of Guimarães,1,"Arts, entertainment and recreation"
55324,en,Municipality of Guimarães,1,Water supply
55324,en,Municipality of Guimarães,1,Forestry
55324,en,Municipality of Guimarães,1,Accommodation and food service activities
55324,en,Municipality of Guimarães,1,"Public administration and defence, compulsory social security"
55324,en,Municipality of Guimarães,1,Manufacturing
55324,en,Municipality of Guimarães,1,"Sewerage, wastewater management and remediation activities"
55324,en,Municipality of Guimarães,1,Construction
55324,en,Municipality of Guimarães,1,Information and communication
55324,en,Municipality of Guimarães,1,Waste management
55324,en,Municipality of Guimarães,1,Human health and social work activities
55324,en,Municipality of Guimarães,1,"Professional, scientific and technical activities"
55324,en,Municipality of Guimarães,1,"Electricity, gas, steam and air conditioning supply"
55324,en,Municipality of Guimarães,1,Conservation
55324,en,Municipality of Guimarães,1,Fishing
55324,en,Municipality of Guimarães,2,Construction
55324,en,Municipality of Guimarães,2,"Other, please specify"
55324,en,Municipality of Guimarães,2,Agriculture
55324,en,Municipality of Guimarães,2,Water supply
55324,en,Municipality of Guimarães,2,Forestry
55324,en,Municipality of Guimarães,2,"Public administration and defence, compulsory social security"
55324,en,Municipality of Guimarães,2,Fishing
55324,en,Municipality of Guimarães,3,"Public administration and defence, compulsory social security"
55324,en,Municipality of Guimarães,3,"Sewerage, wastewater management and remediation activities"
55324,en,Municipality of Guimarães,3,Construction
55324,en,Municipality of Guimarães,3,Information and communication
55324,en,Municipality of Guimarães,3,Education
55324,en,Municipality of Guimarães,3,Waste management
55324,en,Municipality of Guimarães,3,Agriculture
55324,en,Municipality of Guimarães,3,Water supply
55324,en,Municipality of Guimarães,3,Forestry
55324,en,Municipality of Guimarães,3,"Electricity, gas, steam and air conditioning supply"
55324,en,Municipality of Guimarães,3,Manufacturing
55324,en,Municipality of Guimarães,3,Conservation
55324,en,Municipality of Guimarães,3,Fishing
55324,en,Municipality of Guimarães,4,Information and communication
55324,en,Municipality of Guimarães,4,"Other, please specify"
55324,en,Municipality of Guimarães,4,Agriculture
55324,en,Municipality of Guimarães,4,Human health and social work activities
55324,en,Municipality of Guimarães,4,Real estate activities
55324,en,Municipality of Guimarães,4,Water supply
55324,en,Municipality of Guimarães,4,Forestry
55324,en,Municipality of Guimarães,6,Construction
55324,en,Municipality of Guimarães,6,Information and communication
55324,en,Municipality of Guimarães,6,Education
55324,en,Municipality of Guimarães,6,Agriculture
55324,en,Municipality of Guimarães,6,Water supply
55324,en,Municipality of Guimarães,6,"Electricity, gas, steam and air conditioning supply"
55324,en,Municipality of Guimarães,6,Forestry
55324,en,Municipality of Guimarães,6,"Public administration and defence, compulsory social security"
55324,en,Municipality of Guimarães,6,Conservation
55324,en,Municipality of Guimarães,6,Manufacturing
826431,en,Municipality of Loulé,1,Financial and insurance activities
826431,en,Municipality of Loulé,1,Administrative and support service activities
826431,en,Municipality of Loulé,1,Education
826431,en,Municipality of Loulé,1,Agriculture
826431,en,Municipality of Loulé,1,Transportation and storage
826431,en,Municipality of Loulé,1,Real estate activities
826431,en,Municipality of Loulé,1,"Arts, entertainment and recreation"
826431,en,Municipality of Loulé,1,Water supply
826431,en,Municipality of Loulé,1,Forestry
826431,en,Municipality of Loulé,1,Accommodation and food service activities
826431,en,Municipality of Loulé,1,"Public administration and defence, compulsory social security"
826431,en,Municipality of Loulé,1,Manufacturing
826431,en,Municipality of Loulé,1,"Sewerage, wastewater management and remediation activities"
826431,en,Municipality of Loulé,1,Construction
826431,en,Municipality of Loulé,1,Information and communication
826431,en,Municipality of Loulé,1,Waste management
826431,en,Municipality of Loulé,1,"Other, please specify"
826431,en,Municipality of Loulé,1,Human health and social work activities
826431,en,Municipality of Loulé,1,"Professional, scientific and technical activities"
826431,en,Municipality of Loulé,1,"Electricity, gas, steam and air conditioning supply"
826431,en,Municipality of Loulé,1,Conservation
826431,en,Municipality of Loulé,1,Fishing
